Date,value,volume,time,tuesday,wednesday,thursday,friday,month_cos_embed,month_sin_embed,day_cos_embed,day_sin_embed
2011-02-23,1.4553329944610596,24084000,165,0,1,0,0,0.8660254037844387,0.49999999999999994,0.22252093395631334,-0.9749279121818238
2011-02-24,1.5019999742507935,15829500,166,0,0,1,0,0.8660254037844387,0.49999999999999994,0.43388373911755795,-0.9009688679024193
2011-02-25,1.5740000009536743,20194500,167,0,0,0,1,0.8660254037844387,0.49999999999999994,0.6234898018587334,-0.7818314824680299
2011-02-28,1.5926669836044312,15768000,168,0,0,0,0,0.8660254037844387,0.49999999999999994,0.9749279121818235,-0.22252093395631464
2011-03-01,1.5959999561309814,16596000,169,1,0,0,0,0.5000000000000001,0.8660254037844386,1.0,0.0
2011-03-02,1.6013330221176147,9949500,170,0,1,0,0,0.5000000000000001,0.8660254037844386,0.9795299412524945,0.20129852008866006
2011-03-03,1.6239999532699585,9603000,171,0,0,1,0,0.5000000000000001,0.8660254037844386,0.9189578116202306,0.39435585511331855
2011-03-04,1.6633330583572388,23701500,172,0,0,0,1,0.5000000000000001,0.8660254037844386,0.8207634412072763,0.5712682150947923
2011-03-07,1.6626670360565186,30504000,173,0,0,0,0,0.5000000000000001,0.8660254037844386,0.3473052528448203,0.9377521321470804
2011-03-08,1.6440000534057617,20998500,174,1,0,0,0,0.5000000000000001,0.8660254037844386,0.1514277775045767,0.9884683243281114
2011-03-09,1.6480000019073486,13872000,175,0,1,0,0,0.5000000000000001,0.8660254037844386,-0.05064916883871264,0.9987165071710528
2011-03-10,1.6006669998168945,15255000,176,0,0,1,0,0.5000000000000001,0.8660254037844386,-0.2506525322587204,0.9680771188662043
2011-03-11,1.6046669483184814,13962000,177,0,0,0,1,0.5000000000000001,0.8660254037844386,-0.4403941515576344,0.8978045395707416
2011-03-14,1.5499999523162842,17490000,178,0,0,0,0,0.5000000000000001,0.8660254037844386,-0.8743466161445821,0.48530196253108104
2011-03-15,1.5299999713897705,19782000,179,1,0,0,0,0.5000000000000001,0.8660254037844386,-0.9541392564000488,0.29936312297335804
2011-03-16,1.5213329792022705,17545500,180,0,1,0,0,0.5000000000000001,0.8660254037844386,-0.994869323391895,0.10116832198743272
2011-03-17,1.5206669569015503,13839000,181,0,0,1,0,0.5000000000000001,0.8660254037844386,-0.9948693233918952,-0.10116832198743204
2011-03-18,1.5306669473648071,10318500,182,0,0,0,1,0.5000000000000001,0.8660254037844386,-0.9541392564000488,-0.2993631229733582
2011-03-21,1.5153330564498901,6175500,183,0,0,0,0,0.5000000000000001,0.8660254037844386,-0.6121059825476627,-0.7907757369376986
2011-03-22,1.4793330430984497,8743500,184,1,0,0,0,0.5000000000000001,0.8660254037844386,-0.44039415155763423,-0.8978045395707417
2011-03-23,1.480666995048523,6342000,185,0,1,0,0,0.5000000000000001,0.8660254037844386,-0.2506525322587213,-0.9680771188662041
2011-03-24,1.4886670112609863,6933000,186,0,0,1,0,0.5000000000000001,0.8660254037844386,-0.05064916883871355,-0.9987165071710528
2011-03-25,1.5166670083999634,8520000,187,0,0,0,1,0.5000000000000001,0.8660254037844386,0.15142777750457667,-0.9884683243281114
2011-03-28,1.5499999523162842,15871500,188,0,0,0,0,0.5000000000000001,0.8660254037844386,0.6889669190756865,-0.72479278722912
2011-03-29,1.5946669578552246,11331000,189,1,0,0,0,0.5000000000000001,0.8660254037844386,0.8207634412072763,-0.5712682150947924
2011-03-30,1.5806670188903809,18349500,190,0,1,0,0,0.5000000000000001,0.8660254037844386,0.9189578116202306,-0.3943558551133187
2011-03-31,1.850000023841858,172767000,191,0,0,1,0,0.5000000000000001,0.8660254037844386,0.9795299412524943,-0.20129852008866114
2011-04-01,1.7773330211639404,42972000,192,0,0,0,1,6.123233995736766e-17,1.0,1.0,0.0
2011-04-04,1.722000002861023,39139500,193,0,0,0,0,6.123233995736766e-17,1.0,0.8090169943749475,0.5877852522924731
2011-04-05,1.7799999713897705,47713500,194,1,0,0,0,6.123233995736766e-17,1.0,0.6691306063588582,0.7431448254773941
2011-04-06,1.7660000324249268,19324500,195,0,1,0,0,6.123233995736766e-17,1.0,0.5000000000000001,0.8660254037844386
2011-04-07,1.815999984741211,42154500,196,0,0,1,0,6.123233995736766e-17,1.0,0.30901699437494745,0.9510565162951535
2011-04-08,1.7660000324249268,29196000,197,0,0,0,1,6.123233995736766e-17,1.0,0.10452846326765346,0.9945218953682733
2011-04-11,1.6846669912338257,20541000,198,0,0,0,0,6.123233995736766e-17,1.0,-0.4999999999999998,0.8660254037844387
